"Time","Nike"
"2019-07-01",74
"2019-08-01",63
"2019-09-01",65
"2019-10-01",67
"2019-11-01",85
"2019-12-01",70
"2020-01-01",70
"2020-02-01",63
"2020-03-01",62
"2020-04-01",59
"2020-05-01",60
"2020-06-01",53
"2020-07-01",53
"2020-08-01",50
"2020-09-01",48
"2020-10-01",57
"2020-11-01",65
"2020-12-01",56
"2021-01-01",50
"2021-02-01",52
"2021-03-01",58
"2021-04-01",72
"2021-05-01",64
"2021-06-01",59
"2021-07-01",66
"2021-08-01",59
"2021-09-01",54
"2021-10-01",55
"2021-11-01",47
"2021-12-01",45
"2022-01-01",62
"2022-02-01",53
"2022-03-01",55
"2022-04-01",51
"2022-05-01",61
"2022-06-01",48
"2022-07-01",52
"2022-08-01",51
"2022-09-01",48
"2022-10-01",45
"2022-11-01",54
"2022-12-01",49
"2023-01-01",48
"2023-02-01",54
"2023-03-01",60
"2023-04-01",58
"2023-05-01",87
"2023-06-01",86
"2023-07-01",85
"2023-08-01",79
"2023-09-01",79
"2023-10-01",85
"2023-11-01",83
"2023-12-01",81
"2024-01-01",83
"2024-02-01",87
"2024-03-01",78
"2024-04-01",80
"2024-05-01",74
"2024-06-01",69
"2024-07-01",71
"2024-08-01",72
"2024-09-01",65
"2024-10-01",65
"2024-11-01",57
"2024-12-01",35
"2025-01-01",38
"2025-02-01",53
"2025-03-01",48
"2025-04-01",74
"2025-05-01",77
"2025-06-01",73
"2025-07-01",34
"2025-08-01",31
"2025-09-01",30
"2025-10-01",34
"2025-11-01",90
"2025-12-01",77
"2026-01-01",64
"2026-02-01",100